step,server_time,client_time,rss_after_bytes,rss_delta_bytes,power_watts,energy_joules,throughput
train_batch_0005_fhe_output_bootstrap,41.333722,0.0,4020068352,-66854912,0.0,0.0,0.024193
train_batch_0006_1_linear,11.565558,0.0,2124853248,0,0.0,0.0,0.086464
train_batch_0006_2_attention,25.15194,0.0,2124853248,0,0.0,0.0,0.039758
train_batch_0006_3_leakyrelu,20.324331,0.0,2138611712,13758464,0.0,0.0,0.049202
train_batch_0006_4_bootstrap_after_pack,424.346607,0.0,2183286784,44675072,0.0,0.0,0.002357
train_batch_0006_epoch_1_forward_backward_stream,553.865174,0.0,2105188352,551206912,0.0,0.0,0.001805
train_batch_0006_epoch_1_weight_update,0.196645,0.0,2105188352,0,0.0,0.0,5.08531
train_batch_0006_epoch_1_bootstrap_weights,42.396299,0.0,2121048064,15859712,0.0,0.0,0.023587
train_batch_0006_epoch_2_forward_backward_stream,552.320355,0.0,2121437184,389120,0.0,0.0,0.001811
train_batch_0006_epoch_2_weight_update,0.201908,0.0,2045046784,-76390400,0.0,0.0,4.952751
train_batch_0006_epoch_2_bootstrap_weights,42.395364,0.0,2069430272,24383488,0.0,0.0,0.023587
train_batch_0006_epoch_3_forward_backward_stream,552.710393,0.0,2108731392,39301120,0.0,0.0,0.001809
train_batch_0006_epoch_3_weight_update,0.203017,0.0,2108731392,0,0.0,0.0,4.925692
train_batch_0006_epoch_3_bootstrap_weights,42.370339,0.0,2124853248,16121856,0.0,0.0,0.023601
train_batch_0006_fhe_output_bootstrap,42.508366,0.0,2138664960,16908288,0.0,0.0,0.023525
train_batch_0007_1_linear,32.584356,0.0,3887849472,0,0.0,0.0,0.03069
train_batch_0007_2_attention,71.244692,0.0,3887849472,0,0.0,0.0,0.014036
train_batch_0007_3_leakyrelu,57.451599,0.0,4026179584,138330112,0.0,0.0,0.017406
train_batch_0007_4_bootstrap_after_pack,1216.071779,0.0,4081770496,55590912,0.0,0.0,0.000822
train_batch_0007_epoch_1_forward_backward_stream,1596.432609,0.0,3664887808,1606950912,0.0,0.0,0.000626
train_batch_0007_epoch_1_weight_update,0.183604,0.0,3664887808,0,0.0,0.0,5.446507
train_batch_0007_epoch_1_bootstrap_weights,40.619995,0.0,3664887808,0,0.0,0.0,0.024618
train_batch_0007_epoch_2_forward_backward_stream,1592.778937,0.0,3878449152,213561344,0.0,0.0,0.000628
train_batch_0007_epoch_2_weight_update,0.181837,0.0,3878449152,0,0.0,0.0,5.499431
train_batch_0007_epoch_2_bootstrap_weights,40.305662,0.0,3804127232,-74321920,0.0,0.0,0.02481
train_batch_0007_epoch_3_forward_backward_stream,1595.983473,0.0,3888500736,84373504,0.0,0.0,0.000627
train_batch_0007_epoch_3_weight_update,0.182925,0.0,3888500736,0,0.0,0.0,5.466717
train_batch_0007_epoch_3_bootstrap_weights,40.487046,0.0,3887849472,-651264,0.0,0.0,0.024699
train_batch_0007_fhe_output_bootstrap,40.56416,0.0,4087013376,0,0.0,0.0,0.024652
train_batch_0008_1_linear,32.777763,0.0,3820322816,0,0.0,0.0,0.030508
train_batch_0008_2_attention,71.949001,0.0,3820322816,0,0.0,0.0,0.013899
train_batch_0008_3_leakyrelu,56.870642,0.0,3820322816,0,0.0,0.0,0.017584
train_batch_0008_4_bootstrap_after_pack,1238.602725,0.0,3882065920,61743104,0.0,0.0,0.000807
train_batch_0008_epoch_1_forward_backward_stream,1627.235663,0.0,3575209984,1517404160,0.0,0.0,0.000615
train_batch_0008_epoch_1_weight_update,0.188299,0.0,3575209984,0,0.0,0.0,5.310699
train_batch_0008_epoch_1_bootstrap_weights,41.320248,0.0,3445092352,-130117632,0.0,0.0,0.024201
train_batch_0008_epoch_2_forward_backward_stream,1604.536768,0.0,3887235072,442142720,0.0,0.0,0.000623
train_batch_0008_epoch_2_weight_update,0.186293,0.0,3887235072,0,0.0,0.0,5.367882
train_batch_0008_epoch_2_bootstrap_weights,40.954588,0.0,3812909056,-74326016,0.0,0.0,0.024417
train_batch_0008_epoch_3_forward_backward_stream,1608.341033,0.0,3820322816,7413760,0.0,0.0,0.000622
train_batch_0008_epoch_3_weight_update,0.194863,0.0,3820322816,0,0.0,0.0,5.131807
train_batch_0008_epoch_3_bootstrap_weights,40.726138,0.0,3820322816,0,0.0,0.0,0.024554
train_batch_0008_fhe_output_bootstrap,40.815217,0.0,3820466176,0,0.0,0.0,0.024501
train_batch_0009_1_linear,32.617807,0.0,3813314560,0,0.0,0.0,0.030658
train_batch_0009_2_attention,71.249441,0.0,3813314560,0,0.0,0.0,0.014035
train_batch_0009_3_leakyrelu,57.840716,0.0,3951992832,138678272,0.0,0.0,0.017289
train_batch_0009_4_bootstrap_after_pack,1232.215213,0.0,4006928384,54935552,0.0,0.0,0.000812
train_batch_0009_epoch_1_forward_backward_stream,1596.296122,0.0,3671818240,1613635584,0.0,0.0,0.000626
train_batch_0009_epoch_1_weight_update,0.185762,0.0,3671818240,0,0.0,0.0,5.383233
train_batch_0009_epoch_1_bootstrap_weights,40.557017,0.0,3671818240,0,0.0,0.0,0.024657
train_batch_0009_epoch_2_forward_backward_stream,1602.258765,0.0,3878563840,206745600,0.0,0.0,0.000624
train_batch_0009_epoch_2_weight_update,0.203319,0.0,3804233728,-74330112,0.0,0.0,4.918385
